Salary,Title
114400,Business Analyst
114400,Data Engineer
114400,Business Analyst
114400,Data Engineer
114400,Business Analyst
114400,Business Analyst
114400,Business Analyst
115003,Data Engineer
115003,Data Analyst
115003,Data Engineer
115003,Business Intelligence Developer
117312,Data Scientist
117312,Data Scientist
117499,Data Scientist
117499,Machine Learning Engineer
117499,Machine Learning Engineer
118560,Business Analyst
119600,Data Analyst
119600,Data Engineer
119600,Data Engineer
119600,Business Analyst
119600,Data Analyst
119600,Data Analyst
119600,Data Engineer
119621,Business Intelligence Developer
119621,Business Intelligence Developer
119621,Business Intelligence Developer
119995,Data Engineer
119995,Business Intelligence Developer
120141,Data Scientist
120141,Data Scientist
122304,Database Administrator
123198,Data Engineer
123198,Data Engineer
123240,Data Scientist
123760,Data Analyst
124800,Business Analyst
124800,Data Engineer
124800,Business Intelligence Developer
124800,Data Engineer
124800,Data Analyst
125008,Data Engineer
125486,Data Scientist
126402,Business Intelligence Developer
127504,Data Scientist
127504,Data Engineer
127920,Business Analyst
129771,Data Scientist
129792,Business Intelligence Developer
129792,Data Engineer
129792,Data Scientist
129792,Business Intelligence Developer
129792,Business Analyst
129792,Data Scientist
129792,Machine Learning Engineer
130000,Data Engineer
130000,Data Scientist
130000,Data Engineer
130000,Data Engineer
130000,Business Analyst
130000,Business Intelligence Developer
130000,Business Analyst
130000,Business Analyst
130000,Business Analyst
130000,Machine Learning Engineer
130000,Data Engineer
132496,Data Scientist
133120,Business Analyst
134160,Data Analyst
134805,Data Scientist
134992,Machine Learning Engineer
134992,Machine Learning Engineer
135013,Data Scientist
135200,Data Analyst
135200,Data Engineer
135200,Business Analyst
135200,Data Engineer
136240,Data Engineer
137280,Data Engineer
137363,Data Engineer
137363,Data Engineer
137384,Data Engineer
137384,Data Engineer
137384,Data Engineer
137696,Data Engineer
137696,Data Engineer
140005,Machine Learning Engineer
140005,Data Engineer
140400,Data Engineer
140400,Business Analyst
140400,Business Analyst
140400,Data Engineer
140400,Business Analyst
141731,Database Administrator
141731,Database Administrator
142501,Data Engineer
144622,Data Engineer
144997,Business Analyst
144997,Data Engineer
144997,Business Analyst
146640,Business Analyst
147680,Data Engineer
148720,Business Analyst
150010,Machine Learning Engineer
150259,Data Scientist
150259,Data Scientist
150800,Machine Learning Engineer
150800,Data Engineer
150800,Data Engineer
150800,Data Engineer
150800,Data Engineer
150800,Data Engineer
150800,Business Analyst
151840,Business Intelligence Developer
152880,Database Administrator
152880,Machine Learning Engineer
152880,Machine Learning Engineer
154606,Machine Learning Engineer
155002,Machine Learning Engineer
155002,Data Analyst
155002,Data Scientist
155002,Data Scientist
155022,Machine Learning Engineer
155022,Machine Learning Engineer
155397,Data Engineer
156000,Database Administrator
157997,Data Scientist
161200,Business Analyst
162240,Data Analyst
162240,Data Analyst
162490,Database Administrator
162490,Data Scientist
162490,Database Administrator
162490,Database Administrator
162490,Database Administrator
162490,Database Administrator
164320,Data Engineer
165006,Data Engineer
165006,Data Engineer
165360,Database Administrator
166400,Data Engineer
166400,Machine Learning Engineer
166400,Business Analyst
166400,Data Scientist
166400,Machine Learning Engineer
166400,Data Scientist
166400,Machine Learning Engineer
171600,Business Analyst
173056,Data Scientist
173056,Data Engineer
174990,Data Scientist
174990,Data Scientist
185557,Machine Learning Engineer
187200,Data Engineer
190008,Data Scientist
194106,Machine Learning Engineer
194106,Machine Learning Engineer
208000,Business Analyst
208000,Business Analyst
209498,Data Scientist
215010,Data Scientist
